smiles,idnumber,reagent1,reagent2,reagent3,reagent4,reaction,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED,PAINS,BRENK,NIH,ZINC,LILLY,lead-like,350/3_lead-like,fragments,strict_fragments,PPI_modulators,natural_product-like,Type,InChiKey,pred
COCC(COC)OC(=O)C(C)(C)C1=CC(C)=CC=N1,Z3010729439,24221610,3703230,,,1458,281.352,20,1.872,5,0,7,0.600,57.650,0.714,,,,,,True,True,,,,AAACIPMGNIAYNB-UHFFFAOYSA-N,,,-33.04755555431315
COC1=C(Cl)C=C(NC(=O)CN2N=CN=C2C)C=C1Cl,Z4288087735,2083431,26589173,,,22,315.160,20,2.541,5,1,4,0.250,69.040,0.941,,,,,,True,True,,,,AAACIUCPDABHFL-UHFFFAOYSA-N,,,-36.397612324024884
CNC1=CN=C(C(=O)N2CCC3(COC(=O)N3)C2)C=N1,Z5124399503,24374828,9335333,,,22,277.284,20,-0.157,6,2,2,0.500,96.450,0.780,,,,,,True,True,,,,AAACIUDJNDCVRI-UHFFFAOYSA-N,,,-33.117738745522836
CC1=CC(N[C@@H]2[C@H]3COC[C@H]32)=C(C#N)C=N1,Z2409630366,3340224,2993473,,,27,215.256,16,1.318,4,1,2,0.500,57.940,0.808,,,,,,True,,,,,AAACJDPSCUJKOP-IAZYJMLFSA-N,,,-41.65357651203333
O=C(C1=NOCC1)N1CCC2(CC1)COCC(CO)O2,Z5365224065,26766888,3478910,,,22,284.312,20,-0.468,6,1,2,0.846,80.590,0.741,,,,,True,True,True,,,,True,M,AAACJGFXFXWJJB-UHFFFAOYSA-N,-38.113156553855504
CC(C)N1N=CC(C(=O)NC2(C3=NC=CO3)CCCC2)=N1,Z5615653298,34265190,3772836,,,22,289.339,21,2.046,6,1,4,0.571,85.840,0.931,,,,,,True,True,,,AAACJJNRIHSUNG-UHFFFAOYSA-N,,,,-37.17253672027675
CSC1CN(C(=O)C2=CC=NC(C(C)C)=N2)C(C)(C)C1,Z5600788636,27202981,8841714,,,22,293.436,20,2.956,4,0,3,0.667,46.090,0.859,,,,,,True,True,,,AAACJLIHQZOMIM-UHFFFAOYSA-N,,,,-33.27626606099588
CC1(C2CN(C(=O)C3=NN=C4COCCN43)CCO2)CC1,Z5339700475,27230834,26379708,,,22,292.339,21,0.449,6,0,2,0.786,69.480,0.791,,,,,,True,True,,,AAACJPARGOEUNZ-UHFFFAOYSA-N,,,,-39.65216711329184
CC1(C)OC[C@H](CN2C(=O)[C@@H]3C[C@@H]4CCC[C@@H]4N3C2=O)O1,Z4445213279,2998406,11549005,,,272104,294.351,21,1.343,4,0,2,0.867,59.080,0.721,,True,,,,True,True,,,,True,M,AAACJSVWEZCTSR-BJDJZHNGSA-N,-42.22272208869692
CC1(C)OC[C@@H](CN2C(=O)[C@@H]3C[C@@H]4CCC[C@@H]4N3C2=O)O1,Z4445229446,2997258,11549005,,,272104,294.351,21,1.343,4,0,2,0.867,59.080,0.721,,True,,,,True,True,,,,True,M,AAACJSVWEZCTSR-USZNOCQGSA-N,-41.483606546169085
